Grupo	Classe	Ordem	Família	Táxon	Nome Vernacular	Categoria
Chordata	Aves	Passeriformes	Thamnophilidae	Biatas nigropectus (Lafresnaye, 1850)	papo-branco	VU
Chordata	Aves	Passeriformes	Melanopareiidae	Melanopareia torquata rufescens Hellmayr, 1924	tapaculo-de-colarinho	CR
Chordata	Aves	Passeriformes	Scleruridae	Sclerurus macconnelli bahiae Chubb, 1919	vira-folha-de-peito-vermelho	EN
Chordata	Aves	Passeriformes	Scleruridae	Geositta poeciloptera (Wied, 1830)	andarilho	RE
Chordata	Aves	Passeriformes	Dendrocolaptidae	Campylorhamphus trochilirostris major Ridgway, 1911	arapaçu-beija-flor	EN
Chordata	Aves	Passeriformes	Furnariidae	Phleocryptes melanops melanops (Vieillot, 1817)	bate-bico	EN
Chordata	Aves	Passeriformes	Furnariidae	Synallaxis hypospodia Sclater, 1874	joão-grilo	VU
Chordata	Aves	Passeriformes	Furnariidae	Synallaxis scutata scutata Sclater, 1859	estrelinha-preta	EN
Chordata	Aves	Passeriformes	Furnariidae	Asthenes moreirae (Miranda-Ribeiro, 1906)	garrincha-chorona	EN
Chordata	Aves	Passeriformes	Pipridae	Pipra fasciicauda scarlatina Hellmayr, 1915	uirapuru-laranja	VU
Chordata	Aves	Passeriformes	Onychorhynchidae	Onychorhynchus swainsoni (Pelzeln, 1858)	maria-leque-do-sudeste	VU
Chordata	Aves	Passeriformes	Tityridae	Laniisoma elegans (Thunberg, 1823)	chibante	VU
Chordata	Aves	Passeriformes	Tityridae	Iodopleura pipra pipra (Lesson, 1831)	anambezinho	EN
Chordata	Aves	Passeriformes	Cotingidae	Carpornis melanocephala (Wied, 1820)	sabiá-pimenta	VU
Chordata	Aves	Passeriformes	Cotingidae	Lipaugus lanioides (Lesson, 1844)	tropeiro-da-serra	VU
Chordata	Aves	Passeriformes	Platyrinchidae	Platyrinchus leucoryphus Wied, 1831	patinho-de-asa-castanha	VU
Chordata	Aves	Passeriformes	Rhynchocyclidae	Phylloscartes eximius (Temminck, 1822)	barbudinho	EN
Chordata	Aves	Passeriformes	Rhynchocyclidae	Phylloscartes kronei Willis & Oniki, 1992	maria-da-restinga	VU
Chordata	Aves	Passeriformes	Rhynchocyclidae	Phylloscartes paulista Ihering & Ihering, 1907	não-pode-parar	VU
Chordata	Aves	Passeriformes	Rhynchocyclidae	Hemitriccus furcatus (Lafresnaye, 1846)	papa-moscas-estrela	VU
Chordata	Aves	Passeriformes	Tyrannidae	Euscarthmus rufomarginatus rufomarginatus (Pelzeln, 1868)	maria-corruíra	RE
Chordata	Aves	Passeriformes	Tyrannidae	Myiopagis gaimardii gaimardii (d'Orbigny, 1840)	maria-pechim	EN
Chordata	Aves	Passeriformes	Tyrannidae	Culicivora caudacuta (Vieillot, 1818)	papa-moscas-do-campo	CR
Chordata	Aves	Passeriformes	Tyrannidae	Polystictus pectoralis pectoralis (Vieillot, 1817)	papa-moscas-canela	CR
Chordata	Aves	Passeriformes	Tyrannidae	Sublegatus modestus modestus (Wied, 1831)	guaracava-modesta	CR
Chordata	Aves	Passeriformes	Tyrannidae	Alectrurus tricolor (Vieillot, 1816)	galito	CR
Chordata	Aves	Passeriformes	Troglodytidae	Cistothorus platensis polyglottus (Vieillot, 1819)	corruíra-do-campo	RE
Chordata	Aves	Passeriformes	Motacillidae	Anthus nattereri Sclater, 1878	caminheiro-grande	RE
Chordata	Aves	Passeriformes	Parulidae	Myiothlypis leucophrys (Pelzeln, 1868)	pula-pula-de-sobrancelha	VU
Chordata	Aves	Passeriformes	Thraupidae	Neothraupis fasciata (Lichtenstein, 1823)	cigarra-do-campo	CR
Chordata	Aves	Passeriformes	Thraupidae	Tangara peruviana (Desmarest, 1806)	saíra-sapucaia	VU
Chordata	Aves	Passeriformes	Thraupidae	Conirostrum bicolor bicolor (Vieillot, 1809)	figuinha-do-mangue	VU
Chordata	Aves	Passeriformes	Thraupidae	Charitospiza eucosma Oberholser, 1905	mineirinho	RE
Chordata	Aves	Passeriformes	Thraupidae	Sporophila frontalis (Verreaux, 1869)	pixoxó	EN
Chordata	Aves	Passeriformes	Thraupidae	Sporophila falcirostris (Temminck, 1820)	cigarra	EN
Chordata	Aves	Passeriformes	Thraupidae	Sporophila plumbea plumbea (Wied, 1830)	patativa	VU
Chordata	Aves	Passeriformes	Thraupidae	Sporophila beltoni Repenning & Fontana, 2013	patativa-tropeira	CR
Chordata	Aves	Passeriformes	Thraupidae	Sporophila bouvreuil (Statius Muller, 1776)	caboclinho	VU
Chordata	Aves	Passeriformes	Thraupidae	Sporophila pileata (Sclater, 1865)	caboclinho-branco	EN
Chordata	Aves	Passeriformes	Thraupidae	Sporophila hypoxantha Cabanis, 1851	caboclinho-de-barriga-vermelha	CR
Chordata	Aves	Passeriformes	Thraupidae	Sporophila ruficollis Cabanis, 1851	caboclinho-de-papo-escuro	CR
Chordata	Aves	Passeriformes	Thraupidae	Sporophila palustris (Barrows, 1883)	caboclinho-de-papo-branco	CR
Chordata	Aves	Passeriformes	Thraupidae	Sporophila cinnamomea (Lafresnaye, 1839)	caboclinho-de-chapéu-cinzento	CR
Chordata	Aves	Passeriformes	Thraupidae	Sporophila melanogaster (Pelzeln, 1870)	caboclinho-de-barriga-preta	CR
Chordata	Aves	Passeriformes	Thraupidae	Sporophila maximiliani maximiliani (Cabanis, 1851)	bicudo	CR
Chordata	Aves	Passeriformes	Thraupidae	Coryphaspiza melanotis melanotis (Temminck, 1822)	tico-tico-de-máscara-negra	RE
Chordata	Aves	Passeriformes	Thraupidae	Emberizoides ypiranganus Ihering & Ihering, 1907	canário-do-brejo	EN
Chordata	Aves	Passeriformes	Thraupidae	Microspingus cinereus Bonaparte, 1850	capacetinho-do-oco-do-pau	VU
Chordata	Aves	Passeriformes	Thraupidae	Cypsnagra hirundinacea hirundinacea (Lesson, 1831)	bandoleta	EN
Chordata	Aves	Passeriformes	Thraupidae	Donacospiza albifrons (Vieillot, 1817)	tico-tico-do-banhado	VU
Chordata	Aves	Passeriformes	Cardinalidae	Amaurospiza moesta (Hartlaub, 1853)	negrinho-do-mato	VU
